date,score,user_tags,user_rank,usage_duration,item_option,text_review,recommendation_score,발색력,지속력,발림성,수분감
2025.03.06,5점만점에 2점,"건성, 여름쿨톤, 미백, 잡티",,,[옵션] 28 설화 딸기,"맑은 딸기색상인줄 알고 덜컥 샀는데 전혀 공홈 사진과 색 다릅니다 직접 눈으로 보고 발색 해보고 사세요
저 롬앤 너무너무 좋아했는데 항상 똑같은 색에 이름만 바꿔거 내는 것 같아 실망했었는데 이것도 기대했다가 실망한 색이에요
저는 19호 여쿨라인데 회끼, 탁끼, 보라끼 안 받거든요 근데 이건 밀키하고 탁하고 보라끼 들어갔어요
처음에 흰끼 가득한 핑크였다가 점점 사라지는데 요플레 현상도 살짝 있고요 이런 색 좋아하시거나 잘 받는 분은 추천하지만 저처럼 생각하고 사신다면 후회하실 것 같아요
화장을 이런 색이랑 어울리게 한다면 어울릴 수 있을 것 같기도 하고 베이스로 쓰거나 다른거랑 섞어서 써봐야겠습니다
제발 롬앤 맑은 색상인 것 처럼 광고하지 말고 진짜로 맑은 색상을 내주세요 ㅠㅠ
사진에서 맨 밑에 색이 설화딸기인데 1분정도 지난 색이에요",21,다소 아쉬워요,보통이에요,아주 만족해요,보통이에요
2025.04.04,5점만점에 2점,"민감성, 봄웜톤, 각질, 다크서클",416,한달이상사용,[옵션] 24 베어 쥬시 오,"귤귤한 과즙 넘치는 컬러를 기대했지만
고추장국물색이됨
입술 컬러 옅은 분들만 추천드립니다
저는 원래 입술 컬러가 탁한 편이라 맑은 컬러로 올라오짐 않네요 ㅜㅜ
차라리 아예 귤색이었으면 착색으로 깔고 위에 핑크 글로스라도 발라서 코랄립으로 사용했을텐데
그냥 애매한 … 손 절대 안가는 컬러에욤",0,다소 아쉬워요,예상보다 짧아요,보통이에요,보통이에요
2025.03.30,5점만점에 2점,"건성, 여름쿨톤, 다크서클, 모공",,,[옵션] 28 설화 딸기,롬앤 처돌이인데 새로운 색이 나왔다고 해서 구매했어요 공홈에선 여리여리 핑크빛 발색이길래 바로 구매했는데 실제로는 좀 더 탁하고 붉은빛이 많이 돌아서 당황스러웠어요... 글고 입술에 오래 올리고 있으면 좀 따갑고 부어오르는 느낌이 나요;; 플럼핑 효과와는 다른 느낌임 ㅜ 넘 실망스러웠고 발색도 얇게 올리면 그나마 예쁜데 시간 지나면 그냥 붉은색만 착색으로 남아요 다시 올려도 그 느낌이 안 남 여러가지로 실망스러웠어요,1,보통이에요,예상보다 짧아요,보통이에요,보통이에요
2025.04.02,5점만점에 2점,,,한달이상사용,[옵션] 04 피그 피그,"쥬시래스팅 시리즈는 저랑 진짜 안 맞는 것 같아요ㅠ
후기들 볼때마다 너무 예뻐서 알면서도 사게 되긴 하는데..
글로우가 안어울리는 편이기도 하지만
색<<<광 이라서 뭔가 기름광 느낌? 색은 거의 안 올라가고 번쩍이기만 해서 좀 그래요..",1,보통이에요,예상보다 짧아요,다소 아쉬워요,보통이에요
2025.03.08,5점만점에 1점,복합성,,한달이상사용,[옵션] 05 쥬쥬브,"더 쥬시 래스팅 바르고 시간이 좀 지나면 뭔가 입술이 쪼그라드는 느낌에 엄청 건조해지는 느낌이어서 입술이 아린 듯했거든요ㅜㅜ 그렇게 몇 번 더 바르니 입술에 뭐가 나기 시작해서 사용 중단했더니 나았어요. 몇 번 쓰지도 못하고 휴지통행ㅜㅜ 근데 그 외에도 질감 표현의 지속력이라던가 색상 이런 것도 별로 맘에 안 들어서 딱히 뭐가 좋다 이런 게 없네요,,",6,다소 아쉬워요,예상보다 짧아요,보통이에요,매트해요
2025.03.25,5점만점에 1점,,,,[옵션] [기획세트] 03 베어 그레이프,"리뉴얼 전 베어 그레이프 써보고 이번에 리뉴얼 후 베어그레이프도 써봤는데 진심 갑자기 입술선 주변이 따갑고 간지럽기 시작해서 한번 나면 계속 재발한다는 구순염이 났네요. ㅋㅋ… 검색 해보니 롬앤 틴트나 적색 202호 성분 있으면 구순염 난다는 사람이 많다고 해서 아.. 싶었음.. 리뉴얼 전엔 ㄱㅊ았는데 왜 갑자기 이런걸까여..??

발림성은 좀 끈적꾸덕한 편이고 주름에 좀 끼는 타입이에여 글로우?광택?립인데 플럼핑이나 그런 효과 있는 제품은 아녜여

색상은 베어 구ㄹr이프라는 말이 있듯이 진심 그날그날 색이 바뀝니다.. 어떨땐 다크끼 어떨땐 흰끼(흰끼도는순간 립메이크업 뜸) 진심 어느 장단에 맞춰줘야하는지 몰겠

학생틴트로 가성비있게 사용하기 좋지만 걍 쓰던거 쓰거나 적색202나 기타 입술염 유발 성분 없는 립제품 사서 쓰시는게 나을듯하네요 ㅜㅠ 롬앤..",5,다소 아쉬워요,보통이에요,보통이에요,보통이에요
2025.03.31,5점만점에 1점,"지성, 여름쿨톤, 모공, 블랙헤드",,,[옵션] 28 설화 딸기,"컬러면에서 아주 만족했으나
나에게 구순염을 가져다준 롬앤..
내가 롬앤을 믿다니 바보같았지..",1,보통이에요,예상보다 짧아요,아주 만족해요,보통이에요
2025.03.28,5점만점에 1점,"건성, 쿨톤, 블랙헤드, 잡티",,,[옵션] 28 설화 딸기,저만 이 색상 쓰면 입술이 따갑고 그래요? 처음엔 제 입술이 상태가 안 좋은줄 알고 그냥 두고 안 썼는데 오래만에 발라보고 싶아서 한 4시간정도 발라줬더니 입술이 지우고나서도 계속 따갑고 입술이 자체가 건조해지더라고요…. 다른 색상은 괜찮게 잘 쓰고 있는데 이 색상만 이상하네요…,1,보통이에요,보통이에요,보통이에요,아주 촉촉해요
2025.03.21,5점만점에 2점,"복합성, 웜톤, 다크서클, 모공",,,[옵션] 05 쥬쥬브,"ㅠㅠ리뉴얼되고 색이 바꼈나요?..
이름이 같아서 구매했는데 모브끼가 있는거 같고
전에꺼랑 색이 너무 달라요 이런색 안 어울리는데ㅠㅠㅠㅠㅠ위에께 전에꺼고 아래가 리뉴얼된거에요..올영에서 틴트 살때마다 매장 조명때문인지 쿨한게 웜한것처럼 보여서 맨날 실패해서 속상했는데 또 망했ㅇ네요...색이 왜 바뀐거죠",0,다소 아쉬워요,예상보다 짧아요,보통이에요,보통이에요
2025.03.30,5점만점에 1점,"지성, 가을웜톤, 트러블",,,[옵션] [올리브영단독]02 누카다미아,색은 너무너무 예쁘지만 바르고 구순염이 생겼어요 처음 생긴건데 한번 발병하면 재발이 쉽대서 참 속상해요….,1,아주 만족해요,보통이에요,다소 아쉬워요,아주 촉촉해요
