date,score,user_tags,user_rank,usage_duration,item_option,text_review,recommendation_score,발색력,지속력,발림성,수분감,skin_tone
2025.03.08,5점만점에 1점,복합성,,한달이상사용,[옵션] 05 쥬쥬브,"더 쥬시 래스팅 바르고 시간이 좀 지나면 뭔가 입술이 쪼그라드는 느낌에 엄청 건조해지는 느낌이어서 입술이 아린 듯했거든요ㅜㅜ 그렇게 몇 번 더 바르니 입술에 뭐가 나기 시작해서 사용 중단했더니 나았어요. 몇 번 쓰지도 못하고 휴지통행ㅜㅜ 근데 그 외에도 질감 표현의 지속력이라던가 색상 이런 것도 별로 맘에 안 들어서 딱히 뭐가 좋다 이런 게 없네요,,",6,다소 아쉬워요,예상보다 짧아요,보통이에요,매트해요,
2025.03.25,5점만점에 1점,,,,[옵션] [기획세트] 03 베어 그레이프,"리뉴얼 전 베어 그레이프 써보고 이번에 리뉴얼 후 베어그레이프도 써봤는데 진심 갑자기 입술선 주변이 따갑고 간지럽기 시작해서 한번 나면 계속 재발한다는 구순염이 났네요. ㅋㅋ… 검색 해보니 롬앤 틴트나 적색 202호 성분 있으면 구순염 난다는 사람이 많다고 해서 아.. 싶었음.. 리뉴얼 전엔 ㄱㅊ았는데 왜 갑자기 이런걸까여..??

발림성은 좀 끈적꾸덕한 편이고 주름에 좀 끼는 타입이에여 글로우?광택?립인데 플럼핑이나 그런 효과 있는 제품은 아녜여

색상은 베어 구ㄹr이프라는 말이 있듯이 진심 그날그날 색이 바뀝니다.. 어떨땐 다크끼 어떨땐 흰끼(흰끼도는순간 립메이크업 뜸) 진심 어느 장단에 맞춰줘야하는지 몰겠

학생틴트로 가성비있게 사용하기 좋지만 걍 쓰던거 쓰거나 적색202나 기타 입술염 유발 성분 없는 립제품 사서 쓰시는게 나을듯하네요 ㅜㅠ 롬앤..",5,다소 아쉬워요,보통이에요,보통이에요,보통이에요,
2025.03.31,5점만점에 1점,"지성, 여름쿨톤, 모공, 블랙헤드",,,[옵션] 28 설화 딸기,"컬러면에서 아주 만족했으나
나에게 구순염을 가져다준 롬앤..
내가 롬앤을 믿다니 바보같았지..",1,보통이에요,예상보다 짧아요,아주 만족해요,보통이에요,여름쿨톤
2025.03.28,5점만점에 1점,"건성, 쿨톤, 블랙헤드, 잡티",,,[옵션] 28 설화 딸기,저만 이 색상 쓰면 입술이 따갑고 그래요? 처음엔 제 입술이 상태가 안 좋은줄 알고 그냥 두고 안 썼는데 오래만에 발라보고 싶아서 한 4시간정도 발라줬더니 입술이 지우고나서도 계속 따갑고 입술이 자체가 건조해지더라고요…. 다른 색상은 괜찮게 잘 쓰고 있는데 이 색상만 이상하네요…,1,보통이에요,보통이에요,보통이에요,아주 촉촉해요,쿨톤
2025.03.14,5점만점에 1점,"복합성, 가을웜톤, 다크서클, 모공",,,[옵션] [올리브영단독]02 누카다미아,"배송 상태 진짜 너무해요..
상자 다 찢어졌는데 테이프 하나만 찍 붙혀져있고 밑에 구멍이 크게 나있는데...ㅋㅋ결국 제 틴트는 배송중에 실종...^^
홈페이지엔 배송 완료 떠있는데...^^ 제가 받은건 없..ㅋㅋ
올리브영에 문의 넣었더니 사진 보고 바로 재배송 해주시긴 했지만 배송 상태 진짜 신경 좀 써주세요..ㅜ",0,보통이에요,보통이에요,보통이에요,보통이에요,가을웜톤
2025.03.30,5점만점에 1점,"지성, 가을웜톤, 트러블",,,[옵션] [올리브영단독]02 누카다미아,색은 너무너무 예쁘지만 바르고 구순염이 생겼어요 처음 생긴건데 한번 발병하면 재발이 쉽대서 참 속상해요….,1,아주 만족해요,보통이에요,다소 아쉬워요,아주 촉촉해요,가을웜톤
2025.03.01,5점만점에 1점,"트러블성, 여름쿨톤, 각질, 모공",,,[옵션] [올리브영단독]01 포멜로 스킨,"❌촉촉하지도 않고 가벼운 글로우한 텍스처

❌사진처럼 탱글거리는 텍스처 절대 아님.

❌발색샷과 실제 발색 너무 다름...

다른 립과 믹싱하기도 애매한 그런 촉촉틴트.. 롬앤 글래스팅 컬러 글로스 4컬러나 가지고 있을만큼 롬앤 립 진~짜 좋아하는데 이건 너무너무너무 실망이에요 ㅠ 세일기간때 샀다만 다*소에서 파는 틴트보다 더 별로라서 걍 쳐박템될듯.. ...",1,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요,여름쿨톤
2025.03.09,5점만점에 1점,"건성, 여름쿨톤, 다크서클, 블랙헤드",,,[옵션] 28 설화 딸기,색이 진짜.. 애매해요… 너무 아쉽습니다 ㅠ ㅠ 설향딸기라며…,0,다소 아쉬워요,예상보다 짧아요,아주 만족해요,보통이에요,여름쿨톤
2025.03.27,5점만점에 1점,"복합성, 여름쿨톤, 모공, 미백",,,[옵션] [기획세트] 23 피치 피치 미,"하아.... 솔직히 말할게요
피치피치미는 다O소 3천원짜리 봄셋 핑크워터랑 같은 색임!!

그리고 같이 온 증정이 자두빛 아니에요.
쿨빛은 맞는 데 형광핑크임

이미지 컬러랑 너무 다르잖아요 ㅠ
이렇게까지 색이 다른건 오바지.....

눈물을 머금고 구입 후회하는 중",0,다소 아쉬워요,보통이에요,다소 아쉬워요,보통이에요,여름쿨톤
2025.02.09,5점만점에 1점,,,한달이상사용,[옵션] [단품]23 피치 피치 미,"진짜 리뉴얼 왜 한건지 의문
기존 잘나가고있던 색들도 미미하게 바뀌고 뉴컬러들도 죄다 착색이 핑크~빨강으로 남아서 진짜 아쉬움
그리고 리뉴얼 전보다 더 빨리 건조해지고 시간 지날수록 어두워짐
글로시 틴트 = 롬앤 이였는데 리뉴얼 후 바뀐듯..",12,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,매트해요,
2025.04.04,5점만점에 1점,,,한달이상사용,[옵션] [어워즈한정기획] 03 베어 그레이프,제 인생템인데 리뉴얼되고 나서 엄청 안 좋아졌어요 발림성 색상 지속력 다 구려졌어요 중고에서 구버전 사서 쓰고있어요,0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,아주 촉촉해요,
2025.02.25,5점만점에 1점,,,,[옵션] [단품]03 베어 그레이프,"아 진짜 올리브영 직원이면 똑바로 추천해든가 봄웜이라서 웜톤 색 추천해달라고 하니까 쿨톤색 추천해주던데요.
지금 산 지 얼마 안되었는데 너무 분하고 짜증나요. 어떻게 착각이든 뭐든 고객한테 이게 맞나요? 일 제대로 했으면 좋겠네요. 그 직원때문에 제가 한번 더 사야하잖아요. 셰일해도 비싸덴.. 다들 웜톤 쿨톤 그냥 직접 검색하고 가보는게 나을 것 같아요! 직원들 이제 못 믿겠네요.
올영 알바도 아무나 잘 안하는데 신입이어도 좀 빨리 숙지했으면 하네요. 색깔 티도 잘 안나네요. 하",1,보통이에요,보통이에요,보통이에요,보통이에요,
2025.04.05,5점만점에 1점,,,한달이상사용,[옵션] 26 신비 복숭아,"처음엔 촉촉하게 발리지만, 시간이 얼마 지나지않을 때 건조함이 확 올라와요.. 이름과는 다르게 실망이에요",0,다소 아쉬워요,보통이에요,다소 아쉬워요,매트해요,
2025.04.05,5점만점에 1점,,,한달이상사용,[옵션] 29 조선 무화과,"처음엔 촉촉하게 발리지만, 시간이 얼마 지나지않을 때 건조함이 확 올라와요.. 이름과는 다르게 실망이에요",0,보통이에요,보통이에요,다소 아쉬워요,매트해요,
2025.02.25,5점만점에 1점,,,,[옵션] 04 피그 피그,"위 : 리뉴얼 후, 아래: 구버전
완전 다른 색임;; 조명차이 아니고 색감 잘 잡으려고 실제 색과 가깝게 찍은 것.
기존 컬러보다 더 빨갛고, 채도가 높고, 착색 완전 쨍한 핑크…
피그피그만의 딥하면서도 예쁜 장밋빛이 아님….
광 리뉴얼 1도 안되었고 오히려 이 틴트는 이제 글로시립이라고 보기가 어려워진 것 같음
이제 쥬시레스팅 구매는 없을듯",2,다소 아쉬워요,지속이 오래돼요,보통이에요,보통이에요,
2025.03.02,5점만점에 1점,,,,[옵션] [기획세트] 23 피치 피치 미,"제품은 아는거라 뭐
근데 새거 맞음? 새거 맞아여?
새거가 맞는교? 왜 어째서?
어째서 돌리는 곳에 얇은 머리카락이 ㅠ
제조공정에서 들어간 거겠징? 그런거겠징?",6,보통이에요,보통이에요,보통이에요,보통이에요,
2025.03.15,5점만점에 1점,,,,[옵션] [기획세트] 03 베어 그레이프,예민하신분은 절대 쓰지마세요. 이거쓰고 입술 다뒤집어지고 진물나고 난리났습니다… 작년부터 패키지 리뉴얼전부터 썼는데 계속 입술가렵고 피부과가서 좀 나았는데 컨디션좋을때 입술에 발랐는데도 그러길래 알아보니 이 립스틱이 원인이었어요.!다른 어플에서 보니가 알레르기 성분 2개나 있더라구요. 색은 이쁜데 성분이ㅜㅠㅠ,4,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,매트해요,
2025.02.28,5점만점에 1점,,,한달이상사용,[옵션] [올리브영단독]02 누카다미아,사실 롬앤의 제품력에 대해 의문을 가진 적도 많고 가지고 있는 기술에 비해 너무 높은 자리에 있다는 생각이 드네요... 도대체 이게 왜 유명한지도 모르겠고 ㅋㅋ 리뉴얼은 왜 하신 거에요...? 진짜 궁금해서 그래요... 듀이풀 워터틴트도 그렇고 입술 아프게 조여오는거 진짜 리스펙합니다,1,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,매트해요,
2025.03.02,5점만점에 1점,,,,[옵션] 09 멀드 피치,"리뉴얼되고 좋아하는 느낌 다 사라짐 질감이나 광택이나 색감이나.. 특히 멀드 피치 색감 이상함
흔하디 흔한 틴트1된느낌",0,다소 아쉬워요,보통이에요,보통이에요,보통이에요,
2025.02.15,5점만점에 1점,"지성, 가을웜톤, 모공, 미백",,재구매,[옵션] [올리브영단독]01 포멜로 스킨,"뭐죠 왜 이런게 같이 붙어서 오나요
개봉하자마자 기분 팍 상하네요
어떻게 하면 저 털이 같이 나올 수가 있나요
실망입니다",0,보통이에요,보통이에요,보통이에요,보통이에요,가을웜톤
2025.04.07,5점만점에 1점,,,한달이상사용,[옵션] 26 신비 복숭아,그래도 혹시나 이번에는 다를까하고 발라봐도... 여전하다 여전해.. 정말 롬앤 립들은 왜자꾸 처박템이 되는 것일까,0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요,
2025.03.18,5점만점에 1점,,,,[옵션] 27 허니 듀 멜론,"이 틴트쓰고 입술에 구순염이 너무 심하게 나서 병원다니고 있어요..
인터넷 검색해보니 저와 같은 증상 있으신 분들이 많은 거 같은데 립제품 만드실 때 성분도 고려해서 만들어주셨으면 좋겠습니다.",1,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,아주 촉촉해요,
2025.03.11,5점만점에 1점,,,,[옵션] [기획세트] 23 피치 피치 미,"광고 내용과 많이 다릅 니다 비 추천 발림성은 나쁘진 않지만 발색력이 약함
전혀 촉촉하지 않고 아주 매트함",1,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,매트해요,
2025.04.06,5점만점에 1점,"지성, 여름쿨톤, 다크서클, 모공",,한달이상사용,[옵션] 28 설화 딸기,항상 재구매하는 제품입니다 휘뚜루마뚜루 잘 쓰고 있어요 ㅎㅎ,0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요,여름쿨톤
2025.03.30,5점만점에 1점,,,,[옵션] [올리브영단독]01 포멜로 스킨,"한 번 썼는데 뚜껑이 안 열려요... 뜨거운 물에 담가보고 고무장갑으로 열어보고 별난리 다 쳤는데도 안 열리네요
찾아보니까 이런 분들 한두분 아니시던데 ㅠ 심지어 구버전부터 계속 이런 사례 있던데 이게 맞나요???......",0,보통이에요,보통이에요,보통이에요,보통이에요,
2025.02.14,5점만점에 1점,,,한달이상사용,[옵션] [단품]23 피치 피치 미,"발림성은 괜찮은데 다크닝 심하네요
손등 발색해보고 3가지 구매했는데 하나도 안쓰고 있어요",1,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요,
2025.02.14,5점만점에 1점,,,한달이상사용,[옵션] [어워즈한정기획] 03 베어 그레이프,"발림성은 괜찮은데 다크닝 심하네요
손등 발색해보고 3가지 구매했는데 하나도 안쓰고 있어요",0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요,
2025.02.14,5점만점에 1점,,,한달이상사용,[옵션] [단품] 20 쥬쥬 피그,"발림성은 괜찮은데 다크닝 심하네요
손등 발색해보고 3가지 구매했는데 하나도 안쓰고 있어요",0,다소 아쉬워요,예상보다 짧아요,아주 만족해요,보통이에요,
2025.04.03,5점만점에 1점,"복합성, 쿨톤, 각질, 다크서클",,,[옵션] 27 허니 듀 멜론,이제 롬앤이랑은 솔절 ㅃㅃ 할거임 쥬시레스팅 왜 사람들이 조아하는지 모르겠음 상세랑 샼차임 너무나고 착색이 다 쿨톤으로 됨,0,다소 아쉬워요,지속이 오래돼요,다소 아쉬워요,보통이에요,쿨톤
2025.04.02,5점만점에 1점,"민감성, 쿨톤, 다크서클, 잡티",,,[옵션] 15 베어 피그,"너무 좋아요 다들 사세요 좋습니다 얼른 사세요
가성비가 굿이예요",0,아주 만족해요,지속이 오래돼요,아주 만족해요,아주 촉촉해요,쿨톤
2025.03.29,5점만점에 1점,"복합성, 쿨톤, 각질, 다크서클",,,[옵션] [기획세트] 03 베어 그레이프,베어그레이프 전에 쓰던것과 색깔 달라진게..너무 충격이였습니다..겉에 디자인 바뀐건 너무 이쁘지만..전에..색깔로..돌아와줬우면 ㅠㅠ,0,보통이에요,보통이에요,보통이에요,보통이에요,쿨톤
2025.03.10,5점만점에 1점,,,,[옵션] 07 체리 밤,"지속력이 그닥입니다
발림성은 좋아요
묻어나는거 당연히 있구요
그러다보니 립 테두리 남고
닿는부분은 지워져요 민망쓰~
착색력이 전혀 없네요
손등테스트땐 착색력있어
구입한건데 실망쓰..",0,다소 아쉬워요,예상보다 짧아요,아주 만족해요,아주 촉촉해요,
2025.02.22,5점만점에 1점,"지성, 봄웜톤, 트러블, 홍조",,,[옵션] 09 멀드 피치,"발림성도 별로고 광도 그닥; 지속력도 엄청 짧음
착색은 되게 진하게 남고 너무 별로임,,",0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요,봄웜톤
2025.04.06,5점만점에 1점,,,,[옵션] [기획세트] 23 피치 피치 미,잃어버랴서 또사려구요ㅠ그래도 계속시는 개꿀템!! 다들 사세요,0,아주 만족해요,지속이 오래돼요,아주 만족해요,아주 촉촉해요,
2025.03.27,5점만점에 1점,"지성, 여름쿨톤, 민감성, 아토피",,,[옵션] [올리브영단독]02 누카다미아,다 괜첞은데 시단이 지나면 베이지 빛이 사라지고 붉은색으로변함 ㅠ,0,아주 만족해요,지속이 오래돼요,아주 만족해요,아주 촉촉해요,여름쿨톤
2025.02.15,5점만점에 1점,,,한달이상사용,[옵션] [어워즈한정기획] 23 피치 피치 미,그 전 버전만 못 합니다. 광택도 적고 색도 진해 손이 잘 안 가요.,1,다소 아쉬워요,보통이에요,다소 아쉬워요,보통이에요,
2025.03.09,5점만점에 1점,,,,[옵션] [단품]03 베어 그레이프,"….이게뭐지
롬앤 베어그레이프만 엄청 써대다 신제품 나온다길래 기대핶는데요
-기존 베어그레이프를 인생템으로 잘 썼다
-요플레현상이나 다크닝이 없는 템을 원한다
-주름부각 없는 립을 원한다
추천 안드려요
오히려 기존 버전이 낫다는 생각이 들 정도로 매우 아쉬웠어요
원래보다 웜해진 느낌때문에 평소 메이크업 스타일에 리뉴얼을 얹으면 굉장히 부자연스러운 느낌
립 하나 때문에 평소 메컵스타일을 바꾸긴 좀 그렇잖아요
그리고 시간 지나면 안쪽부터 하얗게 일어나고 주름부각도 어느정도 있어요,,
하이라이트는 “다크닝”!!!!!!!! 왜케 까매지는겨ㅠㅠ 왜ㅠㅠㅠ어두워져ㅠㅠㅠ
다른 분들과 제 주둥이 컨디션에 차이가 있을 수는 있으나 전 매일 립밥을 한덩어리씩 올리고 자는 편인데도 이정도라면
’주둥이 컨디션을 안좋아보이게 하는 립‘이라는 평을,,,,땅땅땅👩‍⚖️,,",1,보통이에요,예상보다 짧아요,보통이에요,보통이에요,
