Product,ID,SkinType,Rating,Date,Review
[NEW/단독기획] 롬앤 더 쥬시 래스팅 틴트 (기획/단품),후루퀸,민감성,4,2025.03.07,"나는 구매한 제품을 써보기 전에는 리뷰를 거의 올리지 않음. 근데 이건 올려야 겠음.

롬앤 관계자들은 보시오. 기획세트는 좋았으나, 쿨톤들이 선호할 쥬쥬피그 색상에 확신의 웜톤 립테스터를 넣어놓은건 그대들의 실수인 것 같소. 확신의 웜톤이 쓰는 색상을 쓰면 일주일간 화장실 못간 사람 처럼 누렇게 뜬 것 같은 얼굴을 하는 본인은 절대로 쓰지 못할 색상이라 참으로 아쉬웠소. 웜톤 친구를 찾아 입양보낼 계획이오…"
[NEW/단독기획] 롬앤 더 쥬시 래스팅 틴트 (기획/단품),여쿨라연히,복합성,4,2025.03.02,"28호 설화딸기 사기전에 꼭 보세요!

피치피치미와의 차이를 궁금해하시는분들이 많을것같아요!
전 여쿨 페일, 화이티쉬이고(여쿨라), 피치피치미도 나름 잘쓰고있었어요!
설화딸기는 피치피치미에 흰기가 좀 더 생기고, 쿨해진버전같아요!

딸기우유가 생각나는 라이트한 색이라 예뻐요..💗
밑에 자연광, 조명, 둘다 없을때 발색 참고해서 구매해보세요☺️

도움되셨으면 좋아요 부탁드려요!!



+추가리뷰 3/20
저는 피치피치미, 설화딸기 두개다 너무 잘쓰고있고 번갈아가면서 쓰고있었는데, 어느순간 사용하면 사용할수록 윗입술이 거칠어지고(원래 윗입술만큼은 매끈했는데..) 립라인이 따갑더니 결국 윗입술은 배로 커지고.. 밑입술도 부었어요.. 입술도 빨개지고요 특히 립라인.
당분간 사용은 중단할거고, 제 입술에만 이럴수도 있으니 참고하세요!

애프터 사진이 입술 부은사진이고요ㅠ
저는 너무 맘에 들어서 두컬러다 쟁여놨는데, 당황스러워요ㅠ

+추가리뷰 3/23
마지막사진이 오늘, 3월23일이고 입술도 원래대로 거의 다 돌아왔고, 다시 연한 입술로 돌아왔어요.
학교갈땐 힌x 로 글로우 젤틴트 바르면서 다녔고, 자기전엔 립밤(토x든, 비x레인) 듬뿍얹어두고 잤어요"
[NEW/단독기획] 롬앤 더 쥬시 래스팅 틴트 (기획/단품),unny,건성,5,2025.03.13,근래 산 틴트중에 젤 맘에들어요!! 글로우립 안좋아하는데도 자연스럽게 예뻐서 좋아요
[NEW/단독기획] 롬앤 더 쥬시 래스팅 틴트 (기획/단품),딸기숭이,복합성,5,2025.03.22,"음 뭔가 손이 잘 안가는?!??
이쁘긴한데 ..
약간 요플레현상도 좀 있는듯!"
[NEW/단독기획] 롬앤 더 쥬시 래스팅 틴트 (기획/단품),ggomdi,지성,5,2025.03.11,"여쿨라한테 찰떡인 틴트입니다
케이스도 이쁘고 광택도 적당해서 손이 자주 가요"
[NEW/단독기획] 롬앤 더 쥬시 래스팅 틴트 (기획/단품),안흥팥찐팥,복합성,4,2025.03.09,좋다고 하기에도 애매하고 그렇다고 안 좋지도 않은 그정도입니다. 발색이 애매하고 지속력도 애매해서 손이 잘 안가요
[NEW/단독기획] 롬앤 더 쥬시 래스팅 틴트 (기획/단품),밍숭맹숭올리비아,건성,5,2025.03.26,"미지근한듯하면서도 약간의 쿨함도 있는 핑크라서 여쿨이 쓰기 은은하고 자연스러워서 예뻐요.
히든레어컬러가 더 잘어울리는 것 같긴한데 암튼 너무 마음에 들고 히든컬러도 본품으로 출시해주세요!!"
[NEW/단독기획] 롬앤 더 쥬시 래스팅 틴트 (기획/단품),얌만두,민감성,5,2025.04.01,"쥬시틴트는 바르다보면 입술이 상태가 별로
안 좋아져서 증맬루 아쉽습니다!!ㅜ
입술이 까져요 틉니다..
색은 이뻐요 여쿨라이트톤 색만 보자면 괜찮아용!
근데
이번에 리뉴얼하면서 용량도 엄청 줄었는데 가격대비 별로예요 이 가격에 다룬거 살 거 같아요"
[NEW/단독기획] 롬앤 더 쥬시 래스팅 틴트 (기획/단품),잔디잔디,트러블성,5,2025.03.03,"저는 롬앤 리뉴얼 후를 더 조아하는데
피치피치미가 좀 쿨했던 웜톤들 이겁니다
좀더 살구피치 그럼 늒김임

피치허니비st 원했는데 롬앤이 공홈에서만 판매해서
아쉬웠던 올리브걸들 이겁니다

밑에가 피치피치미!!
멜론 컬러는 봄솦 봄웜라이트 강추"
[NEW/단독기획] 롬앤 더 쥬시 래스팅 틴트 (기획/단품),밍쁭,복합성,5,2025.03.31,"리뉴얼 된 제품이 이전 제품보다 좋은 것 같아요!
컬러 발색도 더 잘되고 광 지속력도 좀 더 길어진 느낌입니다 :)
그래서 진짜 데일리로 출근할때 바르고 있는 제품이에요!"
