date,score,user_tags,user_rank,usage_duration,item_option,text_review,recommendation_score,발색력,지속력,발림성,수분감,skin_tone
2025.02.18,1,"민감성, 봄웜톤, 모공, 민감성",,한달이상사용,[옵션] [단품] 30 행집베리,"완전 별로 입니다 완전 별로
앞으로 잉크무드글로이는 절대 안사요
어두워지고 딥해지는거 개심하고 착색 딥하게 되고
광사라지고 그냥 파국 그 자체인 립
특히 행집베리는 진짜진짜.개 별로입니다
사지마세요 상품페이지 발색이랑은 완전히 다른 틴트구요 저한테만 그런진 모르겠지만 멀멀베리?소프트베리?
그딴건 없어요 춘장고추장쌈장입니다
쎄보이고싶을 때 쓰면 딱이겠어요 !!!!!
정말 실망해서 이렇게 리뷰를 씁니다
한번 써보고 충격받아서 안쓰게 되네요
지옥에서온 고추장립을 경험하고 싶지 않으시다면 사지 마세요 소중한 지갑을 지켜요 진짜 배신감 쩔어요 어휴",59,다소 아쉬워요,지속이 오래돼요,다소 아쉬워요,보통이에요,봄웜톤
2025.02.07,1,"건성, 여름쿨톤, 모공, 민감성",,,[옵션] [단품] 29 쿨레벌떡,"쿨당대란 품절 이슈로 구매..
오버립할 때 좀 어두운 색으로 덮어야 입술선이 안보이는데.. 최대한 쿨당대란하고 비슷한 색으로 샀는데 안비슷함
쿨당대란은 이렇게 경쾌한 느낌이 아닌데..
쿨 당 대 란.. 돌아오세요",7,다소 아쉬워요,보통이에요,아주 만족해요,보통이에요,여름쿨톤
2025.03.25,1,"복합성, 여름쿨톤, 트러블, 피지과다",,,[옵션] [단품] 30 행집베리,"21호 여름쿨톤 라이트
(1점 낮음 ~ 5점 높음)

착색도 4/5
글로스타입
탁한느낌 5/5
지속력 2/5
건조함 2/5
생각보다 진한 탁기, 베리맞음..?",0,다소 아쉬워요,보통이에요,아주 만족해요,보통이에요,여름쿨톤
2025.03.25,1,,,,[옵션] [+핑크블러밤] 27 핑토당토,"제 피부톤에 맞지 않는 어두운 색상으로 인해 제품 색상이 사진과 상이하며, 마치 중년 여성이 사용할 법한 색상으로 보입니다.",0,다소 아쉬워요,지속이 오래돼요,보통이에요,보통이에요,
2025.03.29,1,,,한달이상사용,[옵션] [단품] 30 행집베리,"페리페라 잉크무드글로이틴트는 이제안사려고합니다. 상세이미지,모델발색샷하고 너무달라요. 완전팥죽색베이스의 쿨톤베리가 더맞습니다.",0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,아주 촉촉해요,
2024.05.05,1,"복합성, 여름쿨톤, 블랙헤드, 아토피",,,[옵션] [소다다방][+미니글로스] 25 힙플딸기,"아니;; 기획세튼데 립만 텅 하나 오는게 말이 되나요?
오늘드림으로 시킨거고 안에 글로스 기획인데 아예 공장에서 불량품을 낸거면 매장에서 교환처리를 해줘야죠…
매장에 전화했더니 온라인몰 상품문의 쓰라 그러고
온라인 문의했더니 자기 관활아니고 다른데 문의쓰라고
일 미루기 반복하면 뭐 ;; 이건 소비자한테 장난하잔건가요?
어이가 없네요 ㅋㅋㅋ
+)이전에 탑리뷰어였는데 왜 뺐었다가 줬나 했더니 다들 리뷰 도움으로 엄청 달아주셨네요
리뷰 잘 봐주셔서 감사합니다….❤️
계속 듣보잡들 픽픽 거리면서 화장품 핵비싸게 가격 올리고 알바 최저 주면서 본사 md들 명품백 살 돈 받고 ㅋㅋㅋ
증정품 창렬에 매번 일처리 못해서 화딱지 나게 하는..
다들 공식몰이나 ㄷㅇㅅ 가고 테스터로만 여길 이용하던데독점 기업 망해가기 전에 반성 좀 했으면 ㅎㅎ",432,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요,여름쿨톤
2025.03.06,1,,,,[옵션] [+플럼핑 립펜슬] 27 핑토당토,올영에서 쇼핑하면서 한번도 리뷰 쓴 적이 없는데 어이가 없어서 리뷰 씁니다. 유튜브에서도 하도 토끼혀 색이라고 여리여리 핑크 느낌이라 바이럴 엄청 하고 공홈도 이런 진한 색이 전혀 아니던데. 입술에 발라봐도 엄청 진한 핑크입니다. 이정도면 불량인가?라는 생각이 들 정도로 발색이 사진이랑 유튜브랑도 엄청 다릅니다. ㅋㅋㅋㅋ 아니 저 사진이 어똫게 이 색이야 ㅋㅋ,1,다소 아쉬워요,보통이에요,다소 아쉬워요,보통이에요,
2024.09.02,1,"복합성, 여름쿨톤, 각질, 모공",,,[옵션] [+틴트잼키링] 29 쿨레벌떡,"#저기요 제 토끼는 달로 도망갓나요
제토끼어디갓어요네??????저만없어요토끼",372,아주 만족해요,지속이 오래돼요,아주 만족해요,아주 촉촉해요,여름쿨톤
2023.01.12,1,"건성, 가을웜톤, 각질, 다크서클",887,한달이상사용,[옵션] [단품] 11 극락좌표,손등발색했을 때 색상이랑 입술에 올렸을때랑 너무 달라요. 입술에서 너무 어둡게 착색돼서 하... 아숩다. 유리알광택 마음에 드는데..,4,다소 아쉬워요,지속이 오래돼요,아주 만족해요,아주 촉촉해요,가을웜톤
2023.01.06,1,"건성, 웜톤, 모공, 홍조",,한달이상사용,[옵션] [단품] 11 극락좌표,"한달 사용후기!

지만 거의 안쓰게 되었어용 ,, ㅠ 제가 다른 호수는 정말 자주 쓰는데 이 호수는 손이 너무 안가서 ,,, 쳐박템 되어버렸어요 제 피부에 특히 안어울리기는 했는데 매장가서 테스트 발색 해보시고 구매하시길 추천드려요 !!",3,다소 아쉬워요,보통이에요,보통이에요,아주 촉촉해요,웜톤
