date,score,user_tags,user_rank,usage_duration,item_option,text_review,recommendation_score,발색력,지속력,발림성,수분감,skin_tone
2025.02.13,5점만점에 1점,,,,[옵션] [NEW 립펜슬6호기획] 19 베이비애플,"아니 이거 받고나서 손에 샫상테스트를 하는데 좀
충격받았네요... 제가 생각한 색상은 코랄빛의 생상을 생각하고 구매를 하였는데 그런 생상이 전혀 아니여서 좀 어이가 없네요..
원래 이런 생상인지 제품이 잘못 담긴 건지는 잘 모르겠지만...
제 상각에는 이건 좀 너무 하다는 생각이 드네요..",1,보통이에요,보통이에요,보통이에요,보통이에요,
2025.03.18,5점만점에 1점,"복합성, 웜톤, 다크서클, 모공",,,[옵션] [해리포터 기획] 23 버티보트의솜사탕,올영세일 첫날에 구매했는데.... 이제야 받은... 너~~~ 무 오래 기다려서....,0,보통이에요,보통이에요,보통이에요,보통이에요, 웜톤
2025.03.15,5점만점에 1점,,,,[옵션] [NEW 립펜슬3호기획] 20 바닐라애플,쿨톤인데 욕심으로 구입해봤어요.. 다른사람 줬네유..,0,보통이에요,보통이에요,보통이에요,보통이에요,
2025.03.13,5점만점에 1점,"복합성, 봄웜톤, 각질, 다크서클",,,[옵션] [해리포터 기획] 23 버티보트의솜사탕,"굿즈가 퀄리티가 더 좋음
펜은 진짜 싸구려티나고
키링은 이뻐요
발색이 그냥 창백한 제 입술색임 무슨색인지 모르겠어요
돈 아깝다
일부러 비 인기 색을 인기굿즈랑 매치한듯.
요색은 담에 나와도 다시 재구매 안해여",1,다소 아쉬워요,보통이에요,다소 아쉬워요,아주 촉촉해요, 봄웜톤
2025.03.13,5점만점에 1점,"복합성, 봄웜톤, 각질, 다크서클",,,[옵션] [해리포터 기획] 24 개구리초콜릿,"에휴 굿즈가 퀄리티가 더 좋음
펜은 진짜 싸구려티나고
키링은 이뻐요
발색이 그냥 창백한 제 입술색임
돈 아깝다
일부러 비 인기 색을 인기굿즈랑 매치한듯.
요색은 담에 나와도 다시 재구매 안해여",0,다소 아쉬워요,보통이에요,아주 만족해요,아주 촉촉해요, 봄웜톤
2025.03.08,5점만점에 1점,,,,[옵션] [해리포터 기획] 22 호박주스코랄,볼펜 키링 기획제품이라 기대가 너무 컸나봐요 ㅠㅠ 키링은 귀여운데 볼펜 품질이 진짜 별로에요.. 볼펜으로는 못 쓸 것 같고 눈으로만 만족하겠습니다...,0,아주 만족해요,보통이에요,보통이에요,아주 촉촉해요,
2025.03.08,5점만점에 1점,,,,[옵션] [해리포터 기획] 21 설탕깃펜레드,볼펜 키링 기획제품이라 기대가 너무 컸나봐요 ㅠㅠ 키링은 귀여운데 볼펜 품질이 진짜 별로에요.. 볼펜으로는 못 쓸 것 같고 눈으로만 만족하겠습니다...,0,아주 만족해요,보통이에요,보통이에요,아주 촉촉해요,
2025.03.08,5점만점에 1점,,,,[옵션] [해리포터 기획] 23 버티보트의솜사탕,볼펜 키링 기획제품이라 기대가 너무 컸나봐요 ㅠㅠ 키링은 귀여운데 볼펜 품질이 진짜 별로에요.. 볼펜으로는 못 쓸 것 같고 눈으로만 만족하겠습니다...,0,아주 만족해요,보통이에요,아주 만족해요,아주 촉촉해요,
2025.03.15,5점만점에 1점,"민감성, 봄웜톤, 모공, 민감성",,한달이상사용,[옵션] [NEW 립펜슬3호기획] 20 바닐라애플,"한 달 전에 예약구매로 배송비 추가로 결제했는데
3월 올영픽이네요 🙂",1,보통이에요,보통이에요,보통이에요,보통이에요, 봄웜톤
2025.02.12,5점만점에 1점,,,,[옵션] 05 프레쉬체리,아주아주 만족에요 물로 딱아도 잘 나오지 않아요 그래서 더욱 더 만적합니다 겨쿨에 어울려요,0,아주 만족해요,지속이 오래돼요,아주 만족해요,아주 촉촉해요,
2025.02.10,5점만점에 1점,,,,[옵션] 18 프레쉬애플,"딱 한 번 사용했는데 예뻤어요..
그 다음날 사용하려고 보니 팁 부분이 빠졌네요",0,아주 만족해요,지속이 오래돼요,아주 만족해요,아주 촉촉해요,
